,actual,incorrect,correct,total,% correct
Current,0,6,26448,26454,99.98%
charged off,1,11,2944,2955,99.63%
fully paid,2,0,12367,12367,100%
in grace period,3,76,282,358,79%
late (16-30),4,51,139,190,73%
late (31-120),5,167,554,721,77%
,,,42734,43045,99.28%
,,,,,
,,,,,
,,,,,
,,,,,
,incorrect,correct,total,% correct,
Current,15,26416,26431,99.94%,
charged off,7,2945,2952,99.76%,
fully paid,0,12353,12353,100.00%,
in grace period,93,264,357,74%,
late (16-30),41,149,190,78%,
late (31-120),162,559,721,78%,
